ts=17181395460, type=DATA_MAG, x=132230, y=130360, z=131621
ts=17181395468, type=DATA_MAG, x=132211, y=130370, z=131627
ts=17181395480, type=DATA_MAG, x=132226, y=130371, z=131618
ts=17181395488, type=DATA_MAG, x=132219, y=130364, z=131627
ts=17181395500, type=DATA_MAG, x=132227, y=130366, z=131621
ts=17181395508, type=DATA_MAG, x=132220, y=130365, z=131610
ts=17181395516, type=DATA_MAG, x=132231, y=130376, z=131634
ts=17181395528, type=DATA_MAG, x=132220, y=130367, z=131628
ts=17181395536, type=DATA_MAG, x=132220, y=130364, z=131634
ts=17181395548, type=DATA_MAG, x=132223, y=130359, z=131618
ts=17181395556, type=DATA_MAG, x=132223, y=130375, z=131630
ts=17181395564, type=DATA_MAG, x=132226, y=130376, z=131629
ts=17181395576, type=DATA_MAG, x=132224, y=130370, z=131629
ts=17181395584, type=DATA_MAG, x=132217, y=130370, z=131602
ts=17181395596, type=DATA_MAG, x=132219, y=130362, z=131619
ts=17181395604, type=DATA_MAG, x=132226, y=130371, z=131623
ts=17181395612, type=DATA_MAG, x=132229, y=130368, z=131629
ts=17181395624, type=DATA_MAG, x=132198, y=130391, z=131643
ts=17181395632, type=DATA_MAG, x=132226, y=130365, z=131620
ts=17181395644, type=DATA_MAG, x=132227, y=130360, z=131626
ts=17181395652, type=DATA_MAG, x=132222, y=130375, z=131620
ts=17181395660, type=DATA_MAG, x=132226, y=130369, z=131623
ts=17181395672, type=DATA_MAG, x=132209, y=130378, z=131624
ts=17181395680, type=DATA_MAG, x=132228, y=130367, z=131625
ts=17181395692, type=DATA_MAG, x=132212, y=130370, z=131634
ts=17181395700, type=DATA_MAG, x=132222, y=130371, z=131615
ts=17181395708, type=DATA_MAG, x=132218, y=130364, z=131627
ts=17181395720, type=DATA_MAG, x=132220, y=130372, z=131619
ts=17181395728, type=DATA_MAG, x=132212, y=130357, z=131620
ts=17181395740, type=DATA_MAG, x=132204, y=130400, z=131607
ts=17181395748, type=DATA_MAG, x=132164, y=130407, z=131666
ts=17181395756, type=DATA_MAG, x=132225, y=130373, z=131630
ts=17181395768, type=DATA_MAG, x=132219, y=130361, z=131628
ts=17181395776, type=DATA_MAG, x=132223, y=130374, z=131631
